EmpID,EmpFirst,EmpMI,EmpLast,SIN,DOB,StartDate,EndDate,Address,City,Prov,PostalCode,JobID,Memo,Phone,Cell,Salary,HourlyRate,Review Date
11,Tem,N,Pom,605239401,5/30/1979 0:00:00,6/1/2012 0:00:00,,802 4616th 106A St,Montreal,QC,H4E2H3,4,,5149891465,5149891274,0.00,6.80,6/1/2021 0:00:00
12,Desmond,L,Foxhall,412489423,7/3/1996 0:00:00,3/4/2002 0:00:00,,412 1120th Tory Rd NW,Montreal,QC,H4E2H4,2,,5144342518,5144345522,100000.00,0.00,
13,Ava,M,Foxhall,434875298,9/23/1985 0:00:00,5/15/2006 0:00:00,,412 1120th Tory Rd NW,Montreal,QC,H4E2L3,3,,5144342518,5144347832,0.00,12.08,5/15/2021 0:00:00
14,Glenn,J,Hollander,582631450,1/15/1979 0:00:00,4/12/2008 0:00:00,,171 Tudor Ln,Montreal,QC,H4E2L3,5,,5144370538,5143174380,65000.00,0.00,
16,Michelle,C,Devereaux,504587339,8/5/1978 0:00:00,11/20/2010 0:00:00,,4636 10th Ave,Montreal,QC,H4E3B7,3,,5144502377,5144501224,0.00,13.13,11/15/2021 0:00:00
17,Esteban,J,Lucas,567223559,9/23/1996 0:00:00,10/14/2011 0:00:00,,8018 95th Ave NW,Montreal,QC,H4E3B7,4,Speaks fluent Spanish,5144507734,5144506577,0.00,9.00,11/12/2021 0:00:00
18,Eric,B,Campbell,512587668,10/16/1995 0:00:00,8/1/2011 0:00:00,,12142 36th St,Montreal,QC,H4E2H8,3,,5144741148,5144741678,0.00,11.03,8/1/2021 0:00:00
19,Brittany,A,Greer,718994389,9/14/1989 0:00:00,11/15/2011 0:00:00,,255 Southridge NW,Montreal,QC,H4E2H7,4,,5144358874,5144358774,0.00,7.00,11/15/2021 0:00:00
20,Janice,W,Millbrandt,398704239,12/27/1993 0:00:00,5/12/2004 0:00:00,,4704 38B Ave,Montreal,QC,H4E3B7,2,Part-time,5144628557,5144627332,30000.00,0.00,5/15/2021 0:00:00
21,Leigh,M,Watland-Hall,523558250,8/24/1983 0:00:00,7/5/2010 0:00:00,,12908 134th St,Montreal,QC,H4E3T3,4,,5144548114,5144544437,0.00,8.30,7/1/2021 0:00:00
22,Frank,J,Pimienta,664389447,3/17/1989 0:00:00,3/1/2011 0:00:00,,3531 105A St,Montreal,QC,H4E3T4,3,Reprimanded for missed shift (7/16),5144341987,5143171978,0.00,12.39,3/1/2021 0:00:00
23,Mai,W,Yan,598374129,7/5/1992 0:00:00,9/2/2010 0:00:00,,7641 112th Ave,Montreal,QC,H4E2M1,2,,5144790097,5144799805,42700.00,0.00,
24,Christine,A,Sullivan,659228459,11/5/1989 0:00:00,2/15/2011 0:00:00,,13616 24th St,Montreal,QC,H4E2M2,4,,5144761276,5144766687,0.00,8.60,2/15/2021 0:00:00
26,Cheri,L,Larousse,623875334,9/2/1989 0:00:00,5/30/2010 0:00:00,,110 3rd Ave W,Montreal,QC,H4E3B7,4,,5148935877,5148938832,0.00,9.00,5/30/2021 0:00:00
27,Stephen,M,Strupp,664329554,3/25/1988 0:00:00,11/2/2009 0:00:00,,900 9930th Bellamy Hill NW,Montreal,QC,H4E2B3,3,,5144286337,5144285984,0.00,13.13,11/1/2021 0:00:00
28,Dewana,L,Morgan,700487349,10/23/1987 0:00:00,12/2/2010 0:00:00,,2532 Bell Ct SW,Montreal,QC,H4E3B7,4,,5144382456,5144388943,0.00,9.50,12/1/2021 0:00:00
29,Marie,C,Cresson,534995238,12/24/1979 0:00:00,9/15/2010 0:00:00,,202 6205th 101 Ave NW,Montreal,QC,H4E2L6,5,,5144398786,5148932238,63500.00,0.00,
30,Nicole,D,Guidarelli,655377487,4/29/1989 0:00:00,6/1/2011 0:00:00,,5117 14A Ave,Montreal,QC,H4E2L6,4,,5144506337,5144504387,0.00,8.15,6/1/2021 0:00:00
